City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Carnarvon,AU,-24.8667,113.6333,64.13,62,0,15.55,clear sky
122,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.61,97,100,2.91,overcast clouds
123,Marawi,PH,7.9986,124.2928,72.28,87,100,1.07,overcast clouds
124,Salalah,OM,17.0151,54.0924,77.49,83,56,4.34,broken clouds
125,Sur,OM,22.5667,59.5289,80.13,75,1,8.9,clear sky
126,Tiksi,RU,71.6872,128.8694,24.1,90,100,8.48,overcast clouds
127,Hofn,IS,64.2539,-15.2082,46.54,73,98,3.22,overcast clouds
128,Dongli,CN,23.5656,116.8194,78.91,83,0,1.81,clear sky
129,Cherskiy,RU,68.75,161.3,28.17,90,100,11.97,overcast clouds
130,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,88,32,5.1,scattered clouds
131,Portland,US,45.5234,-122.6762,90.45,40,0,9.22,clear sky
132,Souillac,MU,-20.5167,57.5167,70.18,73,20,10.36,few clouds
133,Talcahuano,CL,-36.7167,-73.1167,51.48,82,75,5.75,broken clouds
134,Morondava,MG,-20.2833,44.2833,72.46,82,0,4.25,clear sky
135,Kavaratti,IN,10.5669,72.642,79.93,80,100,12.48,overcast clouds
136,Dunedin,NZ,-45.8742,170.5036,49.39,72,39,20.56,scattered clouds
137,Upernavik,GL,72.7868,-56.1549,21.02,87,18,9.4,few clouds
138,Bykovo,RU,55.6361,38.0803,57.56,94,75,11.18,light rain
139,Katsuura,JP,35.1333,140.3,74.1,69,83,8.66,broken clouds
140,Tuatapere,NZ,-46.1333,167.6833,46.69,70,99,13.22,overcast clouds
141,Maceio,BR,-9.6658,-35.7353,74.64,88,75,6.91,broken clouds
142,Srednekolymsk,RU,67.45,153.6833,25.93,79,96,2.35,overcast clouds
143,El Estor,GT,15.5333,-89.35,76.73,93,95,2.51,overcast clouds
144,Asau,RO,46.4333,26.4,52.72,69,55,9.98,broken clouds
145,Maunabo,PR,18.0072,-65.8993,83.64,89,74,4.32,broken clouds
146,Dudinka,RU,69.4058,86.1778,31.62,95,100,17.2,light snow
147,Lasa,IT,46.6166,10.7002,48.36,93,34,7.67,scattered clouds
148,Gamba,GA,-2.65,10.0,75.51,90,100,4.56,overcast clouds
149,Bandarbeyla,SO,9.4942,50.8122,77.07,81,100,23.35,overcast clouds
150,Yellowknife,CA,62.456,-114.3525,46.92,57,75,20.71,broken clouds
151,Moranbah,AU,-22.0016,148.0466,75.0,61,71,13.82,broken clouds
152,Bella Union,UY,-30.2752,-57.6007,61.3,71,0,6.96,clear sky
