City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Kommunar,RU,2022-07-14 02:41:56,59.6206,30.39,63.52,81,48,6.22
169,Ingham,US,2022-07-14 02:41:57,42.6,-84.3833,68.18,83,0,0.0
170,Iquique,CL,2022-07-14 02:41:57,-20.2208,-70.1431,59.04,80,65,0.87
171,Dunedin,NZ,2022-07-14 02:41:58,-45.8742,170.5036,48.79,77,100,11.01
172,Kaeo,NZ,2022-07-14 02:41:58,-35.1,173.7833,58.32,97,100,13.91
173,Oranjemund,NA,2022-07-14 02:41:58,-28.55,16.4333,51.53,81,0,7.25
174,Baykit,RU,2022-07-14 02:41:59,61.67,96.37,59.56,74,84,2.37
175,Mahebourg,MU,2022-07-14 02:41:59,-20.4081,57.7,68.29,83,75,14.97
176,Georgetown,MY,2022-07-14 02:42:00,5.4112,100.3354,84.88,83,20,5.99
177,Salinopolis,BR,2022-07-14 02:42:00,-0.6136,-47.3561,77.86,88,82,12.19
178,Kahului,US,2022-07-14 02:42:01,20.8947,-156.47,86.02,69,20,29.93
179,Severnyy,RU,2022-07-14 02:42:01,50.677,36.5532,57.24,94,0,6.71
180,Ibra,OM,2022-07-14 02:42:01,22.6906,58.5334,87.46,53,100,1.23
181,Nizhniy Tsasuchey,RU,2022-07-14 02:42:02,50.5167,115.1333,76.06,49,0,11.88
182,Manggar,ID,2022-07-14 02:42:02,-2.8833,108.2667,85.01,70,94,5.41
183,Severo-Kurilsk,RU,2022-07-14 02:42:03,50.6789,156.125,55.74,90,99,3.98
184,Broken Hill,AU,2022-07-14 02:43:03,-31.95,141.4333,53.04,49,0,8.99
185,Nantucket,US,2022-07-14 02:40:01,41.2835,-70.0995,73.51,93,0,4.61
186,Gao,ML,2022-07-14 02:43:04,16.6362,1.637,82.17,51,81,15.75
187,Saint-Georges,GD,2022-07-14 02:43:05,12.0564,-61.7485,78.48,83,20,5.75
188,Castro,BR,2022-07-14 02:43:05,-24.7911,-50.0119,52.45,96,100,7.85
189,Barrow,US,2022-07-14 02:43:06,71.2906,-156.7887,42.82,70,40,16.11
190,Cabra,ES,2022-07-14 02:39:21,37.4725,-4.4421,77.52,21,0,5.28
191,Arys,KZ,2022-07-14 02:43:06,42.4252,68.795,87.76,23,0,19.19
192,Portadown,GB,2022-07-14 02:43:07,54.4241,-6.4412,57.02,95,94,4.97
193,Cayenne,GF,2022-07-14 02:39:53,4.9333,-52.3333,79.09,1,20,0.0
194,Dickinson,US,2022-07-14 02:43:07,29.4608,-95.0513,88.12,79,0,11.5
195,Port Hedland,AU,2022-07-14 02:43:08,-20.3167,118.5667,75.25,22,29,17.27
196,Nikolskoye,RU,2022-07-14 02:43:08,59.7035,30.7861,63.88,79,43,5.61
197,Boa Vista,BR,2022-07-14 02:41:23,2.8197,-60.6733,80.58,74,0,2.3
198,Mahon,ES,2022-07-14 02:43:09,39.8885,4.2658,73.96,83,0,6.91
199,Ihosy,MG,2022-07-14 02:43:09,-22.4,46.1167,56.7,86,71,5.26
200,Vaini,TO,2022-07-14 02:43:10,-21.2,-175.2,76.69,86,8,19.35
201,Shenjiamen,CN,2022-07-14 02:43:11,29.9576,122.298,82.18,77,97,10.07
202,Ayr,GB,2022-07-14 02:43:11,55.4627,-4.6339,55.38,82,75,10.36
203,Hirtshals,DK,2022-07-14 02:43:12,57.5881,9.9592,58.59,72,86,26.42
204,Vilcun,CL,2022-07-14 02:43:12,-38.65,-72.2333,32.74,97,91,2.24
205,Teacapan,MX,2022-07-14 02:43:13,22.55,-105.75,80.46,86,100,5.97
206,Kruisfontein,ZA,2022-07-14 02:43:13,-34.0033,24.7314,55.89,52,60,15.01
207,Gat,IL,2022-07-14 02:43:14,31.61,34.7642,74.08,100,5,3.38
208,New Norfolk,AU,2022-07-14 02:43:14,-42.7826,147.0587,54.91,80,100,1.01
209,Lewiston,US,2022-07-14 02:39:42,44.1003,-70.2148,71.78,78,75,0.0
210,Aykhal,RU,2022-07-14 02:43:15,66.0,111.5,56.39,57,43,6.33
211,Thompson,CA,2022-07-14 02:43:15,55.7435,-97.8558,77.16,44,40,8.05
212,Sobolevo,RU,2022-07-14 02:43:15,54.4299,31.8996,52.77,97,100,3.33
213,Westport,US,2022-07-14 02:41:17,41.1415,-73.3579,77.27,81,0,9.22
214,Ilo,PE,2022-07-14 02:43:16,-17.6394,-71.3375,58.78,80,86,1.86
215,Smidovich,RU,2022-07-14 02:43:17,48.6,133.8167,75.42,82,93,10.8
216,Pochutla,MX,2022-07-14 02:43:17,15.7432,-96.4661,82.22,91,87,3.0
217,Faanui,PF,2022-07-14 02:43:17,-16.4833,-151.75,78.67,67,89,19.17
218,Padang,ID,2022-07-14 02:43:18,-0.9492,100.3543,84.25,67,69,2.77
219,De Aar,ZA,2022-07-14 02:43:19,-30.6497,24.0123,44.33,41,0,5.17
220,San Pedro,PH,2022-07-14 02:43:19,14.35,121.0167,90.32,68,40,6.91
221,Hit,IQ,2022-07-14 02:43:19,33.6416,42.8251,86.38,26,0,16.75
222,Baraboo,US,2022-07-14 02:43:20,43.4711,-89.7443,68.05,82,0,0.0
223,Normandin,CA,2022-07-14 02:43:20,48.8333,-72.5321,57.51,82,95,4.61
224,Port Hardy,CA,2022-07-14 02:43:21,50.6996,-127.4199,57.38,82,75,9.22
225,Ancud,CL,2022-07-14 02:43:21,-41.8697,-73.8203,41.23,89,100,10.85
226,Honiara,SB,2022-07-14 02:43:21,-9.4333,159.95,86.18,60,73,5.39
227,Virginia Beach,US,2022-07-14 02:39:02,36.8529,-75.978,76.01,92,100,6.91
228,Waddan,LY,2022-07-14 02:43:22,29.1614,16.139,69.85,70,0,5.21
229,Muros,ES,2022-07-14 02:43:22,42.7762,-9.0603,74.84,80,40,8.7
230,Progreso,MX,2022-07-14 02:44:23,21.2833,-89.6667,84.11,73,100,9.22
231,Carutapera,BR,2022-07-14 02:44:23,-1.195,-46.02,76.05,89,51,6.08
232,Hasaki,JP,2022-07-14 02:41:51,35.7333,140.8333,75.6,82,93,12.97
233,Naze,JP,2022-07-14 02:44:24,28.3667,129.4833,86.92,73,99,10.16
234,Caravelas,BR,2022-07-14 02:44:24,-17.7125,-39.2481,70.09,90,14,3.94
235,Sisian,AM,2022-07-14 02:44:25,39.5256,46.0251,63.1,55,0,4.99
236,Siljan,NO,2022-07-14 02:44:25,59.2884,9.71,56.3,70,100,3.89
237,Guarapari,BR,2022-07-14 02:44:26,-20.6667,-40.4975,70.9,94,20,6.24
238,Sinjai,ID,2022-07-14 02:44:26,-5.1241,120.253,78.8,87,92,2.13
239,Avarua,CK,2022-07-14 02:44:27,-21.2078,-159.775,75.25,64,75,8.05
240,Tucuma,BR,2022-07-14 02:44:27,-0.1833,-50.05,75.58,93,98,6.13
241,Jiutai,CN,2022-07-14 02:44:27,44.1525,125.8328,68.34,98,100,6.17
242,Goderich,CA,2022-07-14 02:44:28,43.7501,-81.7165,63.91,94,2,4.61
243,Bassar,TG,2022-07-14 02:44:28,9.25,0.7833,69.08,98,92,3.67
244,Mango,US,2022-07-14 02:40:31,27.9797,-82.3065,84.97,92,0,3.44
245,Huarmey,PE,2022-07-14 02:44:29,-10.0681,-78.1522,61.56,85,95,11.63
246,Cedar City,US,2022-07-14 02:42:35,37.6775,-113.0619,77.97,38,75,20.71
247,Fort Pierce,US,2022-07-14 02:40:09,27.4467,-80.3256,81.01,82,0,4.61
248,Oulu,FI,2022-07-14 02:44:30,65.0124,25.4682,63.21,94,75,5.75
249,Moindou,NC,2022-07-14 02:44:31,-21.6924,165.677,70.68,74,99,13.6
250,Ekhabi,RU,2022-07-14 02:44:31,53.5102,142.9671,61.21,79,38,15.19
251,Bien Hoa,VN,2022-07-14 02:44:32,10.95,106.8167,82.38,79,98,8.72
252,Bilibino,RU,2022-07-14 02:44:32,68.0546,166.4372,67.19,34,70,11.88
253,Kozhva,RU,2022-07-14 02:40:24,65.1073,57.0459,77.4,50,3,5.53
254,Trelew,AR,2022-07-14 02:44:32,-43.249,-65.3051,42.21,54,100,4.65
255,Mao,ES,2022-07-14 02:44:33,39.8885,4.2658,73.96,83,0,6.91
256,Evensk,RU,2022-07-14 02:44:33,61.95,159.2333,59.27,78,15,9.86
257,Avera,US,2022-07-14 02:44:08,33.194,-82.5271,72.91,93,98,4.05
258,Mazatlan,MX,2022-07-14 02:44:09,23.2167,-106.4167,85.01,85,72,3.0
259,Rock Sound,BS,2022-07-14 02:44:34,24.9,-76.2,82.74,76,49,14.25
260,Atar,MR,2022-07-14 02:44:34,20.5169,-13.0499,87.89,38,6,7.65
261,Si Sa Ket,TH,2022-07-14 02:44:35,14.8333,104.3333,82.87,80,100,6.42
262,Mazagao,BR,2022-07-14 02:44:35,-0.115,-51.2894,78.85,96,85,3.98
263,Dennis,US,2022-07-14 02:44:36,41.7354,-70.1939,73.8,90,0,1.01
264,Aksehir,TR,2022-07-14 02:44:37,38.3575,31.4164,60.31,81,0,5.73
265,Annan,GB,2022-07-14 02:44:38,54.9884,-3.2565,54.79,89,100,4.9
266,Gorin,RU,2022-07-14 02:44:38,51.1983,136.6669,71.15,84,99,4.97
267,Ola,RU,2022-07-14 02:44:38,59.5833,151.2833,80.15,81,85,9.04
268,Nanortalik,GL,2022-07-14 02:44:39,60.1432,-45.2371,45.39,77,100,6.51
269,Pringsewu,ID,2022-07-14 02:42:05,-5.3582,104.9744,81.79,78,97,2.17
270,Nakhon Thai,TH,2022-07-14 02:44:39,17.1006,100.8374,81.45,84,100,1.21
271,Pyapon,MM,2022-07-14 02:44:40,16.2833,95.6833,76.46,94,100,5.53
272,Kysyl-Syr,RU,2022-07-14 02:44:40,63.8986,122.7617,79.92,51,57,2.66
273,Malanville,BJ,2022-07-14 02:44:41,11.8685,3.3899,77.83,79,95,8.84
274,Marrakesh,MA,2022-07-14 02:44:41,31.6315,-8.0083,80.67,57,40,4.61
275,Grand-Santi,GF,2022-07-14 02:44:42,4.25,-54.3833,72.72,99,100,1.92
276,Concordia,AR,2022-07-14 02:43:37,-31.393,-58.0209,53.78,80,89,14.0
277,Sola,VU,2022-07-14 02:44:42,-13.8833,167.55,80.96,66,77,7.65
278,Kodiak,US,2022-07-14 02:44:16,57.79,-152.4072,58.51,72,100,6.91
279,Nizhniy Odes,RU,2022-07-14 02:45:43,63.6445,54.856,74.93,58,40,5.37
280,Necochea,AR,2022-07-14 02:45:43,-38.5473,-58.7368,46.96,63,100,8.28
281,Kolyvan,RU,2022-07-14 02:45:44,55.3053,82.7391,62.22,52,26,4.0
282,Petatlan,MX,2022-07-14 02:45:44,17.5167,-101.2667,76.57,86,99,2.8
283,Yanam,IN,2022-07-14 02:45:45,16.7333,82.2167,78.08,79,100,12.68
284,Bandarbeyla,SO,2022-07-14 02:45:02,9.4942,50.8122,79.93,65,100,27.22
285,Iqaluit,CA,2022-07-14 02:43:59,63.7506,-68.5145,42.53,81,75,4.61
286,San Jose,US,2022-07-14 02:45:09,37.3394,-121.895,78.21,62,20,12.66
287,Yeniseysk,RU,2022-07-14 02:45:46,58.4497,92.1703,62.74,46,45,5.44
288,Mount Gambier,AU,2022-07-14 02:44:40,-37.8333,140.7667,55.42,65,100,4.94
289,San Roque,ES,2022-07-14 02:45:46,36.2107,-5.3842,74.23,64,0,14.97
290,Havelock,US,2022-07-14 02:45:47,34.8791,-76.9013,84.18,91,100,1.99
291,Batagay,RU,2022-07-14 02:45:47,67.6333,134.6333,69.64,46,8,2.51
292,Hay River,CA,2022-07-14 02:42:20,60.8156,-115.7999,66.18,45,74,4.61
293,Sao Joao Dos Patos,BR,2022-07-14 02:45:49,-6.495,-43.7022,77.07,57,11,8.68
294,Puerto El Triunfo,SV,2022-07-14 02:45:49,13.2833,-88.55,83.32,90,100,1.83
295,Timizart,DZ,2022-07-14 02:45:49,36.8,4.2667,69.64,45,0,5.93
296,Bodden Town,KY,2022-07-14 02:45:50,19.2833,-81.25,84.2,80,20,8.05
