City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Balabac,PH,81.39,light rain,7.9868,117.0645,Batalla’s Lodging House
246,Cheney,US,79.12,clear sky,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
247,Amahai,ID,80.37,broken clouds,-3.3333,128.9167,HOTEL ISABELA
248,Mattru,SL,72.64,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
249,Popondetta,PG,88.14,clear sky,-8.7537,148.2534,Timos Transit House
250,San Policarpo,PH,83.16,overcast clouds,12.1791,125.5072,Agapita M. Nicart
251,Galle,LK,80.02,overcast clouds,6.0367,80.217,Amangalla
252,Grand-Lahou,CI,74.75,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
253,Najran,SA,70.45,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
254,Fomboni,KM,74.91,clear sky,-12.28,43.7425,Auberge les abou
255,Tura,IN,72.9,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
256,Vanimo,PG,81.91,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
257,Lanxi,CN,77.2,clear sky,29.2195,119.477,Shangri-La Hotel
258,Rodrigues Alves,BR,79.45,broken clouds,-7.738,-72.6509,Pousada Aconchego
259,Ternate,ID,80.78,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
260,Corinto,GR,70.9,clear sky,37.9407,22.9573,Ephira Hotel
261,Muli,MV,81.12,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
262,Limoeiro Do Ajuru,BR,81.61,overcast clouds,-1.8953,-49.3806,Hotel Dalva
263,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
264,Faranah,GN,70.48,light rain,10.0404,-10.7434,Chez mon oncle
265,Kaseda,JP,74.59,clear sky,31.4167,130.3167,Sun Stay Kaseda
266,Aku,NG,72.66,overcast clouds,6.7081,7.3167,Diewa Hotel And Resort
267,Monrovia,LR,75.96,moderate rain,6.3005,-10.7969,Sunset Inn
268,Codajas,BR,79.29,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
269,Erzin,TR,72.5,few clouds,36.9559,36.2,Artemis Otel
270,Jasper,US,83.14,clear sky,37.2001,-94.3502,Guest House Motel
271,Evansville,US,73.22,clear sky,37.9748,-87.5558,Le Merigot Hotel
273,Kaffrine,SN,78.67,moderate rain,14.1059,-15.5508,Beuleup counda motel
274,Sedro-Woolley,US,81.77,clear sky,48.5039,-122.2361,Natural Resources Department
275,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
276,Tunapuna,TT,81.1,broken clouds,10.6333,-61.3833,Palms Hotel Trinidad
277,Natal,BR,75.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
278,Guerrero Negro,MX,72.3,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
279,Karratha,AU,73.29,few clouds,-20.7377,116.8463,ibis Styles Karratha
280,Pauini,BR,77.81,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
281,Dakar,SN,79.68,scattered clouds,14.6937,-17.4441,Novotel Dakar
282,Pochutla,MX,84.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
283,Kudahuvadhoo,MV,81.3,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
284,Beitbridge,ZW,75.76,clear sky,-22.2167,30.0,Beitbridge Express Hotel
285,Sarangani,PH,83.55,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
286,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
287,Tambopata,PE,80.49,clear sky,-12.7333,-69.1833,Enashawa Lodge
288,Laibin,CN,76.93,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
290,Jieshi,CN,79.56,clear sky,22.8134,115.8257,Yuehai Hotel
291,San Juan De La Vega,MX,76.44,broken clouds,20.6333,-100.7667,Rivera del Río
293,San Juan De Colon,VE,76.59,overcast clouds,8.0313,-72.2605,Hotel San Francisco de Padua C.A
294,Gamay,PH,81.41,overcast clouds,12.3854,125.2979,Marcela's Bed &Breakfast
295,Namie,JP,71.98,broken clouds,37.4833,141.0,いこいの村なみえ
296,Alenquer,BR,82.81,overcast clouds,-1.9417,-54.7383,Detinha Hotel
297,Orange,US,89.78,few clouds,33.7,-117.7675,Meadows
298,Russell,US,78.96,clear sky,32.3502,-85.1999,Macs
299,Nacala,MZ,71.65,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
300,Velur,IN,75.31,overcast clouds,12.9333,79.1333,NSR Lodge A/C
301,Flores,GT,78.85,overcast clouds,16.9226,-89.8994,Quinta Maya Hotel
302,Grajau,BR,84.34,clear sky,-5.8194,-46.1386,Hotel em Grajaú-Ma:Hotel Confiança
304,Inhapim,BR,74.41,few clouds,-19.5492,-42.12,hotel Carreiro em Inhapim/MG
